"day","job","Ptime","starttime","endtime"
2020/4/6 0:00:00,"JSCRMWD112_1260",4.89583333333333e-03,2020/4/6 0:22:17,2020/4/6 0:30:20
2020/4/19 0:00:00,"JSCRMWD212_1349",4.35185185185185e-03,2020/4/19 23:59:59,2020/4/20 0:07:12
2020/4/20 0:00:00,"JSCRMWD112_1260",4.94212962962963e-03,2020/4/20 0:21:52,2020/4/20 0:29:54
2020/4/27 0:00:00,"JSCRMWD212_1349",4.69907407407408e-03,2020/4/27 0:03:01,2020/4/27 0:10:40
2020/4/27 0:00:00,"JSCRMWD112_1260",4.87268518518519e-03,2020/4/27 0:26:27,2020/4/27 0:34:21
2020/5/25 0:00:00,"JSCRMWD212_1349",4.69907407407408e-03,2020/5/25 0:05:01,2020/5/25 0:12:46
2020/5/25 0:00:00,"JSCRMWD112_1260",4.95370370370371e-03,2020/5/25 0:30:37,2020/5/25 0:38:38
2020/6/5 0:00:00,"JSCRMWD212_1100",5.78703703703704e-05,2020/6/5 23:14:13,2020/6/5 1:05:53
2020/6/8 0:00:00,"JSCRMWD212_1349",4.74537037037037e-03,2020/6/8 0:04:00,2020/6/8 0:11:44
2020/6/8 0:00:00,"JSCRMWD112_1260",5.0462962962963e-03,2020/6/8 0:29:33,2020/6/8 0:37:33
2020/6/22 0:00:00,"JSCRMWD212_1349",4.76851851851852e-03,2020/6/22 0:07:51,2020/6/22 0:15:35
2020/6/22 0:00:00,"JSCRMWD112_1260",4.86111111111111e-03,2020/6/22 0:32:40,2020/6/22 0:40:40
2020/6/29 0:00:00,"JSCRMWD212_1267",1.25e-03,2020/6/29 0:00:08,2020/6/29 0:05:14
2020/6/29 0:00:00,"JSCRMWD212_1349",4.76851851851852e-03,2020/6/29 0:08:39,2020/6/29 0:27:00
2020/6/29 0:00:00,"JSCRMWD112_1260",4.87268518518519e-03,2020/6/29 0:35:26,2020/6/29 0:54:02
2020/7/6 0:00:00,"JSCRMWD212_1349",4.74537037037037e-03,2020/7/6 0:06:36,2020/7/6 0:14:17
2020/7/6 0:00:00,"JSCRMWD112_1260",4.94212962962963e-03,2020/7/6 0:30:35,2020/7/6 0:38:46
