day,kinko,Ptime,starttime,endtime,kokyaku,kokyaku_total,WD,core
43009,1299,0.000208333,43009.05734,43009.05757,0,0,1,7.3
43015,1299,0.000289352,43015.07513,43015.07546,0,0,7,7.3
43022,1299,0.000243056,43022.07491,43022.07517,0,0,7,7.3
43023,1299,0.000277778,43023.04209,43023.0424,0,0,1,7.3
43036,1299,0.00025463,43036.078,43036.07828,0,433066,7,7.3
43036,1227,0.000219907,43036.07885,43036.07913,433066,433066,7,7.3
43043,1299,0.000185185,43043.06887,43043.06909,0,433066,7,7.3
43043,1227,0.000219907,43043.06973,43043.06998,433066,433066,7,7.3
43044,1380,0.000243056,43044.03677,43044.03707,212294,433066,1,7.3
43044,1299,0.000219907,43044.03682,43044.03707,0,433066,1,7.3
43044,1227,0.000219907,43044.03704,43044.03731,433066,433066,1,7.3
43051,1380,0.000289352,43051.04422,43051.04458,212294,645360,1,7.3
43051,1299,0.000266204,43051.04425,43051.04458,0,645360,1,7.3
43051,1227,0.000231481,43051.04439,43051.04465,433066,645360,1,7.3
43057,1123,0.00025463,43057.06416,43057.06443,538870,538870,7,6.3
43057,1380,0.000243056,43057.06674,43057.06701,212294,645360,7,7.3
43057,1299,0.000219907,43057.06681,43057.06707,0,645360,7,7.3
43057,1227,0.000219907,43057.06752,43057.06777,433066,645360,7,7.3
43058,1380,0.000266204,43058.04022,43058.04049,212294,645360,1,7.3
43058,1299,0.000219907,43058.04024,43058.04053,0,645360,1,7.3
43058,1227,0.000231481,43058.04038,43058.04067,433066,645360,1,7.3
43058,1123,0.000196759,43058.04486,43058.04509,538870,538870,1,6.3
43064,1299,0.000243056,43064.06757,43064.06788,0,1362056,7,7.3
43064,1380,0.000243056,43064.06759,43064.06792,212294,1362056,7,7.3
43064,1227,0.000219907,43064.06818,43064.06844,433066,1362056,7,7.3
43064,1396,0.000219907,43064.06823,43064.0685,716696,1362056,7,7.3
43064,1123,0.000196759,43064.06941,43064.06963,538870,538870,7,6.3
43071,1299,0.000277778,43071.07478,43071.07512,0,1362056,7,7.3
43071,1380,0.00025463,43071.0748,43071.07512,212294,1362056,7,7.3
43071,1227,0.000231481,43071.07561,43071.07588,433066,1362056,7,7.3
43071,1396,0.000219907,43071.07575,43071.07603,716696,1362056,7,7.3
43071,1123,0.000243056,43071.07806,43071.07831,538870,538870,7,6.3
43072,1380,0.000266204,43072.04726,43072.04759,212294,1362056,1,7.3
43072,1299,0.000277778,43072.04726,43072.04759,0,1362056,1,7.3
43072,1227,0.000243056,43072.04779,43072.04808,433066,1362056,1,7.3
43072,1396,0.000219907,43072.04799,43072.04822,716696,1362056,1,7.3
43072,1123,0.000219907,43072.05049,43072.05074,538870,538870,1,6.3
43078,1123,0.000219907,43078.06748,43078.06772,538870,538870,7,6.3
43078,1299,0.000347222,43078.07456,43078.07498,0,1362056,7,7.3
43078,1380,0.000405093,43078.07458,43078.07502,212294,1362056,7,7.3
43078,1396,0.000613426,43078.07575,43078.07638,716696,1362056,7,7.3
43078,1227,0.000798611,43078.07584,43078.07669,433066,1362056,7,7.3
43085,1123,0.000266204,43085.08167,43085.08197,538870,538870,7,6.3
43086,1299,0.000231481,43086.04317,43086.04344,0,1362056,1,7.3
43086,1380,0.000219907,43086.04319,43086.04347,212294,1362056,1,7.3
