day,kinko,Ptime,starttime,endtime,kokyaku,kokyaku_total,WD,core
43009,1299,0.008344907,43009.05736,43009.06678,0,0,1,7.3
43010,1299,0.003611111,43010.07933,43010.08332,0,0,2,7.3
43012,1299,0.007800926,43012.07156,43012.0805,0,0,4,7.3
43013,1299,0.003298611,43013.07947,43013.08332,0,0,5,7.3
43014,1299,0.007604167,43014.07388,43014.08264,0,0,6,7.3
43015,1299,0.007002315,43015.07515,43015.08329,0,0,7,7.3
43017,1299,0.007604167,43017.03362,43017.04219,0,0,2,7.3
43020,1299,0.007534722,43020.07281,43020.08154,0,0,5,7.3
43022,1299,0.007175926,43022.07493,43022.08324,0,0,7,7.3
43023,1299,0.008831019,43023.04212,43023.05194,0,0,1,7.3
43024,1299,0.003298611,43024.07942,43024.08332,0,0,2,7.3
43026,1299,0.001493056,43026.08168,43026.08328,0,0,4,7.3
43027,1299,0.007546296,43027.06894,43027.07766,0,0,5,7.3
43028,1299,0.005428241,43028.07727,43028.08332,0,0,6,7.3
43031,1299,0.007291667,43031.06977,43031.07816,0,433066,2,7.3
43032,1299,0.008194444,43032.0715,43032.08059,0,433066,3,7.3
43034,1299,0.000856481,43034.0824,43034.08332,0,433066,5,7.3
43035,1299,0.000243056,43035.08299,43035.08326,0,433066,6,7.3
43036,1299,0.004143519,43036.07802,43036.08273,0,433066,7,7.3
43041,1299,0.008842593,43041.07142,43041.08139,0,433066,5,7.3
43042,1299,0.008125,43042.04705,43042.05628,0,433066,6,7.3
43043,1299,0.007743056,43043.06889,43043.07762,0,433066,7,7.3
43044,1299,0.00869213,43044.03684,43044.04647,0,433066,1,7.3
43045,1299,0.006168981,43045.07582,43045.08331,0,645360,2,7.3
43047,1299,0.008715278,43047.07314,43047.08293,0,645360,4,7.3
43048,1299,0.008090278,43048.07403,43048.0831,0,645360,5,7.3
43051,1299,0.009953704,43051.04427,43051.05522,0,645360,1,7.3
43052,1299,0.008298611,43052.06672,43052.07603,0,645360,2,7.3
43053,1299,0.008796296,43053.06918,43053.07899,0,645360,3,7.3
43054,1299,0.008611111,43054.0699,43054.07951,0,645360,4,7.3
43055,1299,0.004386574,43055.07784,43055.08278,0,645360,5,7.3
43056,1299,0.008576389,43056.07197,43056.08161,0,645360,6,7.3
43057,1299,0.008657407,43057.06683,43057.07649,0,645360,7,7.3
43058,1299,0.009861111,43058.04027,43058.05106,0,645360,1,7.3
43059,1299,0.008587963,43059.07273,43059.08237,0,1362056,2,7.3
43060,1299,0.001226852,43060.08155,43060.08289,0,1362056,3,7.3
